상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원참치 살코기 라이트스탠다드 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,2304,85,20,1700,187.65,1080733,https://www.dongwonmall.com/product/detail.do?productId=001080733,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,31490,4.9,984,250,10,2500,125.96,206843,https://www.dongwonmall.com/product/detail.do?productId=000206843,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,16600,4.9,905,85,10,850,195.29,624402,https://www.dongwonmall.com/product/detail.do?productId=000624402,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,4.9,899,150,20,3000,166.67,1217310,https://www.dongwonmall.com/product/detail.do?productId=001217310,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,12300,4.9,845,150,5,750,164.0,2619,https://www.dongwonmall.com/product/detail.do?productId=000002619,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 리챔 200g x 10캔,햄/닭가슴살,통조림,반찬/주재료,27900,5.0,837,200,10,2000,139.5,1219667,https://www.dongwonmall.com/product/detail.do?productId=001219667,동원 리챔,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,18950,5.0,816,100,10,1000,189.5,64505,https://www.dongwonmall.com/product/detail.do?productId=000064505,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 마일드참치 200g x 10캔,참치/연어통조림,통조림,반찬/주재료,26490,4.9,791,200,10,2000,132.45,277623,https://www.dongwonmall.com/product/detail.do?productId=000277623,동원참치 마일드참치,참치/통조림,플레이크형,마일드,즉석,반찬,캔,,False,False,True
동원참치 고추참치 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,741,85,20,1700,187.65,664373,https://www.dongwonmall.com/product/detail.do?productId=000664373,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,645,150,10,1500,180.0,632615,https://www.dongwonmall.com/product/detail.do?productId=000632615,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,식사,39600,4.9,637,460,20,9200,43.04,1243573,https://www.dongwonmall.com/product/detail.do?productId=001243573,동원 양반 수라 한우사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,False,False,True
동원참치 고추참치 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,17900,4.9,600,85,10,850,210.59,665448,https://www.dongwonmall.com/product/detail.do?productId=000665448,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원참치 고추참치 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,19000,4.9,461,100,10,1000,190.0,523767,https://www.dongwonmall.com/product/detail.do?productId=000523767,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원 양반 전복죽 287g x 24개,죽/스프,즉석조리식품,간편식사,48900,4.9,425,287,24,6888,70.99,2648,https://www.dongwonmall.com/product/detail.do?productId=000002648,동원 양반 전복죽,죽류,레토르트죽,"해물, 전복",전자레인지,식사대용,캔,,False,False,True
동원 자연산골뱅이 230g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,27400,5.0,419,230,5,1150,238.26,10247,https://www.dongwonmall.com/product/detail.do?productId=000010247,동원 자연산골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원홈푸드 비비드키친 저당 굴소스 310g,기타양념,양념,조미료,5200,5.0,393,310,1,310,167.74,3698276,https://www.dongwonmall.com/product/detail.do?productId=003698276,동원홈푸드 비비드키친 저당 굴소스,소스/조미료,,굴,,,,,False,False,True
동원 자연산골뱅이 300g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,13400,4.9,353,300,2,600,223.33,1218978,https://www.dongwonmall.com/product/detail.do?productId=001218978,동원 자연산골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원 리챔 200g x 12캔,햄/닭가슴살,가공육,반찬/주재료,33900,4.9,335,200,12,2400,141.25,750976,https://www.dongwonmall.com/product/detail.do?productId=000750976,동원 리챔,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,False,False,True
동원 양반 밤단팥죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,327,285,24,6840,55.41,115800,https://www.dongwonmall.com/product/detail.do?productId=000115800,동원 양반 밤단팥죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
[4%적립금] 동원 자연산골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,179000,5.0,320,400,24,9600,186.46,526005,https://www.dongwonmall.com/product/detail.do?productId=000526005,동원 자연산골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원 리챔 200g,햄/닭가슴살,가공육,반찬/주재료,3000,5.0,317,200,1,200,150.0,2231,https://www.dongwonmall.com/product/detail.do?productId=000002231,동원 리챔,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,18900,4.9,316,250,5,1250,151.2,1479421,https://www.dongwonmall.com/product/detail.do?productId=001479421,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 고추참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,314,150,5,750,180.0,295293,https://www.dongwonmall.com/product/detail.do?productId=000295293,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
[4%적립금] 동원 자연산골뱅이 300g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,135000,5.0,302,300,24,7200,187.5,3698223,https://www.dongwonmall.com/product/detail.do?productId=003698223,동원 자연산골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원참치 살코기 라이트스탠다드 250g x 15캔,참치/연어통조림,통조림,반찬/주재료,47600,4.9,291,250,15,3750,126.93,3605645,https://www.dongwonmall.com/product/detail.do?productId=003605645,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 250g,참치/연어통조림,통조림,반찬/주재료,3700,4.9,282,250,1,250,148.0,2156,https://www.dongwonmall.com/product/detail.do?productId=000002156,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 고추참치 100g x 20캔,참치/연어통조림,통조림,반찬/주재료,36000,5.0,271,100,20,2000,180.0,49580,https://www.dongwonmall.com/product/detail.do?productId=000049580,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원 자연산꽁치 400g x 3캔,고등어/꽁치통조림,통조림,반찬,13000,4.9,271,400,3,1200,108.33,1479663,https://www.dongwonmall.com/product/detail.do?productId=001479663,동원 자연산꽁치,수산가공/통조림,,"해물, 꽁치",즉석,식재료,캔,,False,False,True
동원참치 매운고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,251,150,10,1500,180.0,523144,https://www.dongwonmall.com/product/detail.do?productId=000523144,동원참치 매운고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원참치 살코기 라이트스탠다드 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,250,150,1,150,186.67,2155,https://www.dongwonmall.com/product/detail.do?productId=000002155,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원참치 김치찌개용 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,245,150,10,1500,180.0,523704,https://www.dongwonmall.com/product/detail.do?productId=000523704,동원참치 김치찌개용,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 리챔 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,5.0,226,200,6,1200,145.0,79120,https://www.dongwonmall.com/product/detail.do?productId=000079120,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,False,False,True
동원 Dole 파인애플 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,226,432,1,432,64.81,2211,https://www.dongwonmall.com/product/detail.do?productId=000002211,동원 Dole 파인애플,,,확인필요,,,,,False,False,True
동원참치 야채참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,216,150,10,1500,180.0,866772,https://www.dongwonmall.com/product/detail.do?productId=000866772,동원참치 야채참치,참치/통조림,플레이크형,야채,즉석,반찬,캔,,False,False,True
동원 양반 야채죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,5.0,214,287,24,6888,55.02,2654,https://www.dongwonmall.com/product/detail.do?productId=000002654,동원 양반 야채죽,죽류,레토르트죽,야채,전자레인지,식사대용,캔,,False,False,True
동원 리챔 340g,햄/닭가슴살,가공육,반찬/주재료,4500,4.9,208,340,1,340,132.35,2232,https://www.dongwonmall.com/product/detail.do?productId=000002232,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,False,False,True
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,206,460,1,460,93.48,1243295,https://www.dongwonmall.com/product/detail.do?productId=001243295,동원 양반 차돌 육개장,,,확인필요,,,,,False,False,True
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,26000,4.9,205,500,20,10000,26.0,1243572,https://www.dongwonmall.com/product/detail.do?productId=001243572,동원 양반 진국 사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,False,False,True
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.8,198,432,1,432,64.81,2213,https://www.dongwonmall.com/product/detail.do?productId=000002213,동원 Dole 후르츠칵테일,,,확인필요,,,,,False,False,True
동원참치 고추참치 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,185,100,1,100,210.0,2178,https://www.dongwonmall.com/product/detail.do?productId=000002178,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원참치 살코기 라이트스탠다드 135gx10캔,참치/연어통조림,통조림,반찬/주재료,22500,4.9,184,135,10,1350,166.67,1029913,https://www.dongwonmall.com/product/detail.do?productId=001029913,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g (4인용),아이반찬,반찬,반찬,4800,4.9,182,340,1,340,141.18,647870,https://www.dongwonmall.com/product/detail.do?productId=000647870,동원 새콤달콤 도톰쫄깃 삼각유부초밥,,,확인필요,,,,,False,False,True
동원참치 살코기 라이트스탠다드 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,180,100,1,100,210.0,567885,https://www.dongwonmall.com/product/detail.do?productId=000567885,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
동원 리챔 340g x 12캔,햄/닭가슴살,가공육,반찬/주재료,49000,5.0,172,340,12,4080,120.1,3567235,https://www.dongwonmall.com/product/detail.do?productId=003567235,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,False,False,True
동원 고등어 400g,고등어/꽁치통조림,통조림,반찬,3200,4.9,172,400,1,400,80.0,2193,https://www.dongwonmall.com/product/detail.do?productId=000002193,동원 고등어,,,확인필요,,,,,False,False,True
동원참치 김치찌개용 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,5.0,169,250,10,2500,140.0,523725,https://www.dongwonmall.com/product/detail.do?productId=000523725,동원참치 김치찌개용,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,168,460,5,2300,99.57,3623150,https://www.dongwonmall.com/product/detail.do?productId=003623150,동원 양반 수라 도가니설렁탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 단호박죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,168,285,24,6840,55.41,1048200,https://www.dongwonmall.com/product/detail.do?productId=001048200,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5.0,167,400,12,4800,92.5,3569051,https://www.dongwonmall.com/product/detail.do?productId=003569051,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,False,False,True
동원참치 DHA 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,165,250,10,2500,140.0,522390,https://www.dongwonmall.com/product/detail.do?productId=000522390,동원참치 DHA,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 양반 수라 왕갈비탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4900,4.7,159,460,1,460,106.52,1243299,https://www.dongwonmall.com/product/detail.do?productId=001243299,동원 양반 수라 왕갈비탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,통조림,반찬,20500,4.9,159,400,5,2000,102.5,1479669,https://www.dongwonmall.com/product/detail.do?productId=001479669,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,False,False,True
동원참치 고추참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,158,150,20,3000,164.0,1222993,https://www.dongwonmall.com/product/detail.do?productId=001222993,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,1600,4.9,154,500,1,500,32.0,1243334,https://www.dongwonmall.com/product/detail.do?productId=001243334,동원 양반 진국 사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,False,False,True
동원참치 고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,150,150,1,150,186.67,2179,https://www.dongwonmall.com/product/detail.do?productId=000002179,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원참치 살코기 라이트스탠다드 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,10800,4.9,148,250,3,750,144.0,1479411,https://www.dongwonmall.com/product/detail.do?productId=001479411,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2300,4.9,147,460,1,460,50.0,1243313,https://www.dongwonmall.com/product/detail.do?productId=001243313,동원 양반 수라 한우사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,False,False,True
동원 양반 단호박죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,147,420,10,4200,56.9,3565759,https://www.dongwonmall.com/product/detail.do?productId=003565759,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원참치 고추참치 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,146,250,10,2500,140.0,523885,https://www.dongwonmall.com/product/detail.do?productId=000523885,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스),햄/닭가슴살,가공육,반찬/주재료,75000,5.0,140,135,48,6480,115.74,3692041,https://www.dongwonmall.com/product/detail.do?productId=003692041,동원 리챔 순닭가슴살,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,,False,False,True
동원 양반 전복죽 287g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.9,136,287,4,1148,74.91,3565285,https://www.dongwonmall.com/product/detail.do?productId=003565285,동원 양반 전복죽,죽류,레토르트죽,"해물, 전복",전자레인지,식사대용,캔,,False,False,True
동원 고등어 400g x 12캔,고등어/꽁치통조림,통조림,반찬,26000,4.9,135,400,12,4800,54.17,3569105,https://www.dongwonmall.com/product/detail.do?productId=003569105,동원 고등어,,,확인필요,,,캔,,False,False,True
동원 자연산골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,133,400,1,400,232.0,2197,https://www.dongwonmall.com/product/detail.do?productId=000002197,동원 자연산골뱅이,수산가공/통조림,슬라이스형,골뱅이,즉석,식재료,캔,,False,False,True
동원 양반 들깨닭죽 420g x 4개,죽/스프,즉석조리식품,간편식사,12900,4.9,129,420,4,1680,76.79,1212930,https://www.dongwonmall.com/product/detail.do?productId=001212930,동원 양반 들깨닭죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 밤단팥죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,129,420,10,4200,56.9,3565764,https://www.dongwonmall.com/product/detail.do?productId=003565764,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,False,False,True
동원참치 살코기 라이트스탠다드 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,5.0,126,100,3,300,176.67,135680,https://www.dongwonmall.com/product/detail.do?productId=000135680,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,79000,5.0,126,400,24,9600,82.29,3687735,https://www.dongwonmall.com/product/detail.do?productId=003687735,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,False,False,True
동원참치 살코기 라이트스탠다드 85g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,125,85,1,85,258.82,580696,https://www.dongwonmall.com/product/detail.do?productId=000580696,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,29500,5.0,125,340,24,8160,36.15,3691055,https://www.dongwonmall.com/product/detail.do?productId=003691055,동원 저스트 노슈가 스위트콘,,,확인필요,,,캔,,False,False,True
동원 양반 밤단팥죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,123,420,4,1680,64.88,3565763,https://www.dongwonmall.com/product/detail.do?productId=003565763,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,False,False,True
동원참치 고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.7,122,150,10,1500,180.0,523844,https://www.dongwonmall.com/product/detail.do?productId=000523844,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원 고등어 400g x 9캔,고등어/꽁치통조림,통조림,반찬,20000,5.0,122,400,9,3600,55.56,34040,https://www.dongwonmall.com/product/detail.do?productId=000034040,동원 고등어,,,확인필요,,,캔,,False,False,True
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,26000,4.9,122,400,12,4800,54.17,1479844,https://www.dongwonmall.com/product/detail.do?productId=001479844,동원 복숭아 백도,,,확인필요,,,캔,,False,False,True
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,45900,5.0,121,400,24,9600,47.81,3687738,https://www.dongwonmall.com/product/detail.do?productId=003687738,동원 고등어,,,확인필요,,,,,False,False,True
동원참치 살코기 라이트스탠다드 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5.0,120,85,60,5100,178.82,858002,https://www.dongwonmall.com/product/detail.do?productId=000858002,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,통조림,간식/요리재료,1480,4.9,118,340,1,340,43.53,3691018,https://www.dongwonmall.com/product/detail.do?productId=003691018,동원 저스트 노슈가 스위트콘,,,확인필요,,,,,False,False,True
동원 자연산골뱅이 230g,골뱅이/수산통조림,통조림,안주/반찬,6480,4.9,117,230,1,230,281.74,2196,https://www.dongwonmall.com/product/detail.do?productId=000002196,동원 자연산골뱅이,수산가공/통조림,슬라이스형,골뱅이,즉석,식재료,캔,,False,False,True
동원 자연산꽁치 400g x 6캔,고등어/꽁치통조림,통조림,반찬,25800,5.0,116,400,6,2400,107.5,3569011,https://www.dongwonmall.com/product/detail.do?productId=003569011,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,False,False,True
동원참치 고추참치 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9400,5.0,115,85,5,425,221.18,664371,https://www.dongwonmall.com/product/detail.do?productId=000664371,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원 양반 쇠고기죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,114,420,10,4200,56.9,3565753,https://www.dongwonmall.com/product/detail.do?productId=003565753,동원 양반 쇠고기죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15900,4.9,112,460,3,1380,115.22,1478663,https://www.dongwonmall.com/product/detail.do?productId=001478663,동원 양반 수라 통다리 삼계탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 전복죽 287g,죽/스프,즉석조리식품,간편식사,2500,4.9,111,287,1,287,87.11,2219,https://www.dongwonmall.com/product/detail.do?productId=000002219,동원 양반 전복죽,죽류,레토르트죽,"해물, 전복",전자레인지,식사대용,캔,,False,False,True
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,110,460,1,460,93.48,1312547,https://www.dongwonmall.com/product/detail.do?productId=001312547,동원 양반 한우사골시래기국,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,False,False,True
동원참치 살코기 라이트스탠다드 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9200,5.0,107,85,5,425,216.47,624401,https://www.dongwonmall.com/product/detail.do?productId=000624401,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,False,False,True
동원참치 고추참치 85g,참치/연어통조림,통조림,반찬/주재료,2200,5.0,105,85,1,85,258.82,655619,https://www.dongwonmall.com/product/detail.do?productId=000655619,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,False,False,True
동원참치 DHA 150g x 48캔 (1박스),참치/연어통조림,통조림,반찬/주재료,103000,5.0,105,150,48,7200,143.06,2622,https://www.dongwonmall.com/product/detail.do?productId=000002622,동원참치 DHA,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 양반 쇠고기죽 287g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,105,287,4,1148,66.2,3565312,https://www.dongwonmall.com/product/detail.do?productId=003565312,동원 양반 쇠고기죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,104,460,1,460,93.48,1243326,https://www.dongwonmall.com/product/detail.do?productId=001243326,동원 양반 진국 소고기무국,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 밤단팥죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,103,285,4,1140,66.67,3565332,https://www.dongwonmall.com/product/detail.do?productId=003565332,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,False,False,True
동원 양반 단호박죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.8,103,420,4,1680,64.88,3565756,https://www.dongwonmall.com/product/detail.do?productId=003565756,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.9,101,460,3,1380,86.96,3566070,https://www.dongwonmall.com/product/detail.do?productId=003566070,동원 양반 소고기 미역국,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 고등어 400g x 6캔,고등어/꽁치통조림,통조림,반찬,13800,4.8,101,400,6,2400,57.5,757358,https://www.dongwonmall.com/product/detail.do?productId=000757358,동원 고등어,,,확인필요,,,캔,,False,False,True
동원 양반 수라 부대찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.8,100,460,1,460,119.57,1425335,https://www.dongwonmall.com/product/detail.do?productId=001425335,동원 양반 수라 부대찌개,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 양반 단호박죽 285g x 12개,죽/스프,즉석조리식품,간편식사,19900,4.9,99,285,12,3420,58.19,1059629,https://www.dongwonmall.com/product/detail.do?productId=001059629,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
